parent_metro_region,state_code,region_type,region,median_sale_price,median_ppsf,median_sale_price_cagr,median_ppsf_cagr
"Charleston, SC",SC,place,"St. Stephen, SC",162500.0,97.5071507150715,0.32155528718649284,0.23695383591625552
"Jackson, WY",WY,place,"Moose Wilson Road, WY",5999000.0,1355.7062146892656,0.042673117624455914,0.04929065959213519
"Indianapolis, IN",IN,place,"Mooresville, IN",266000.0,154.7826580803192,0.12124320112109532,0.08814126474193884
"Sacramento, CA",CA,place,"Camino, CA",500000.0,227.27272727272728,0.08806077584953487,0.062053138311820355
"Columbus, OH",OH,place,"New California, OH",555320.0,221.24302788844625,0.04542789774745715,0.0791485634709932
"Pittsburgh, PA",PA,place,"Pleasant View, PA",155000.0,117.2465960665658,0.11540563820561345,0.12333147962419555
"Ashtabula, OH",OH,place,"Austinburg, OH",328800.0,197.55156132321417,0.13012916683711961,0.10485260941271624
"Olympia, WA",WA,place,"Rainier, WA",514975.0,261.51671030599977,0.13501838192560367,0.09022266616401442
"Oakland, CA",CA,place,"Hercules, CA",822750.0,444.94472390677566,0.05843673544492156,0.07936863273097416
"Dallas, TX",TX,place,"Milford, TX",125000.0,86.32596685082873,0.03690525635253006,0.07745245066202977
"Rochester, NY",NY,place,"Murray, NY",146450.0,136.37504154204055,0.08461998384472569,0.05763647874521194
"California, MD",MD,place,"Golden Beach, MD",399900.0,185.72764100966032,0.04851634684947692,0.032074957141579485
"Provo, UT",UT,place,"Orem, UT",479500.0,219.41620811229365,0.08895398847134661,0.09504719465203681
"Davenport, IA",IL,place,"Aledo, IL",113000.0,81.53138254360222,0.05685768241109268,0.052911975181807236
"Peoria, IL",IL,place,"Tremont, IL",152450.0,115.51573426573428,-0.009665714370846401,0.058752376340099666
"Dallas, TX",TX,place,"Pilot Point, TX",303990.0,181.1305434103685,0.07683491738088644,0.08744734444920454
"Harrisburg, PA",PA,place,"Palmdale, PA",271900.0,87.59664948453609,0.08751970331287207,0.015746000917152614
"Santa Rosa, CA",CA,place,"Healdsburg, CA",1025000.0,853.4127015847006,0.055187661539121136,0.08852099569418326
"Sikeston, MO",MO,place,"Chaffee, MO",90000.0,80.64516129032258,-0.00513001366699628,0.03986699033468666
"Portland, OR",OR,place,"Wilsonville, OR",640000.0,277.77306967984936,0.06221349189780945,0.05521855944528298
"Montgomery County, PA",PA,place,"Hatfield, PA",350000.0,239.39808481532148,0.045220355350621855,0.06281228550012696
"Gary, IN",IN,place,"Hebron, IN",200000.0,103.96361273554255,0.029254646534984774,0.041366062079657206
"Asheville, NC",NC,place,"Etowah, NC",377500.0,242.8671830246899,0.06774141554491075,0.07860920204890154
"Poughkeepsie, NY",NY,place,"Montgomery, NY",522900.0,279.5561594202899,0.09294427165942643,0.06546665072456492
"Lancaster, PA",PA,place,"Bowmansville, PA",400000.0,157.72870662460568,0.05555223015360444,0.05578176979962968
"Indianapolis, IN",IN,place,"Franklin, IN",260000.0,145.94594594594594,0.09233660738480354,0.08629598829683971
"Tampa, FL",FL,place,"Moon Lake, FL",104275.0,78.28453453453454,0.046010045413196865,0.03554116469409285
"Provo, UT",UT,place,"Santaquin, UT",507945.0,165.11446522910904,0.11244229368560821,0.07777688103803437
"New Brunswick, NJ",NJ,place,"Jamesburg, NJ",520000.0,242.76377217553687,0.08738185710790636,0.052755081774052526
"Toledo, OH",OH,place,"Elmore, OH",162500.0,104.96100311824696,0.029503218647432883,0.04873667289941608
"Philadelphia, PA",PA,place,"Radnor Township, PA",987500.0,314.94450236562284,0.062465855750390764,0.02954289670163246
"Boston, MA",MA,place,"Lakeville, MA",660000.0,440.34717948717946,0.08765903341216652,0.10473427031776894
"Montgomery County, PA",PA,place,"Village Shires, PA",635000.0,167.10526315789474,0.0580998488271498,0.005272806650509221
"Pontiac, IL",IL,place,"Fairbury, IL",155000.0,70.07233273056057,0.01168488424909353,0.010304351472232076
"Barnstable Town, MA",MA,place,"Sandwich, MA",624000.0,394.9579831932773,0.07852867671282482,0.13322218718547973
"Boston, MA",MA,place,"Maynard, MA",551500.0,368.52226720647775,0.07403435983179074,0.06866646215878647
"Boston, MA",MA,place,"Maynard, MA",666500.0,314.1168302119688,0.09457024735315356,0.0517316111181072
"Tallahassee, FL",FL,place,"Sopchoppy, FL",282700.0,159.89819004524887,0.08407935078863726,0.07182416927148627
"Richmond, VA",VA,place,"Bon Air, VA",349950.0,195.25162337662337,0.04197303824293441,0.0573577065296218
"Birmingham, AL",AL,place,"Fairfield, AL",79500.0,56.451052474304895,0.037333492706610905,0.10385533389727986
"Santa Cruz, CA",CA,place,"Interlaken, CA",830000.0,567.7154582763337,0.09745489214527225,0.11067470098070409
"Washington, DC",VA,place,"Lovettsville, VA",670000.0,234.47606727037515,0.053066511229483915,0.03856193828108756
"Deltona, FL",FL,place,"Ormond Beach, FL",452500.0,225.1692519436075,0.09684009423578233,0.08197099045882017
"Kalamazoo, MI",MI,place,"Kalamazoo, MI",181450.0,154.15059560532336,0.08712184831589331,0.10315103983007856
"Manchester, NH",NH,place,"Goffstown, NH",515000.0,248.4848484848485,0.08798710308253632,0.07123487422862596
"Dallas, TX",TX,place,"Greenville, TX",272450.0,159.64972875533562,0.18595486593274257,0.1505557726642166
"Deltona, FL",FL,place,"Samsula-Spruce Creek, FL",765000.0,319.30693069306926,0.1118381100961423,0.1042268881916999
"Camden, NJ",NJ,place,"Moorestown-Lenola, NJ",726225.0,233.8133871336996,0.06414463252343539,0.03340349258729636
"Tullahoma, TN",TN,place,"Winchester, TN",383700.0,208.85543872884156,0.15997132833455252,0.12601951878548356
