total_population,median_home_value,median_gross_rent,state,zip_code
29505,528500,86787,25,02453
1752,-666666666,-666666666,25,02457
12778,824600,117137,25,02458
19012,1092700,195336,25,02459
9773,843100,126659,25,02460
7084,880700,164583,25,02461
1389,933400,115556,25,02462
3326,666400,122098,25,02464
11814,790300,157563,25,02465
8929,844000,121037,25,02466
22269,917000,132399,25,02467
5623,1217400,241190,25,02468
35518,559700,101397,25,02472
27878,631900,112150,25,02474
17426,657600,102214,25,02476
26099,859600,129309,25,02478
16140,1243000,223917,25,02481
10855,1018400,168361,25,02482
20571,873900,168542,25,02492
12112,1312300,207702,25,02493
10399,805400,133375,25,02494
13218,338800,70068,25,02532
887,779800,92824,25,02534
1753,1115100,96061,25,02535
19630,356100,72489,25,02536
6689,428800,109707,25,02537
4128,263300,69327,25,02538
4320,773400,78902,25,02539
8346,599200,78603,25,02540
949,-666666666,53031,25,02542
649,896600,99444,25,02543
111,-666666666,-666666666,25,02553
10935,1071900,107683,25,02554
2499,553100,96645,25,02556
4665,583800,75294,25,02557
1170,256000,45326,25,02558
3746,373000,73491,25,02559
296,315400,86422,25,02561
3094,412400,103306,25,02562
9861,380600,93306,25,02563
233,2000001,112647,25,02564
4107,649300,51456,25,02568
10608,314400,63805,25,02571
2418,719100,95351,25,02575
4383,259500,80473,25,02576
0,-666666666,-666666666,25,02584
15677,281100,54414,25,02601
1957,584600,115129,25,02630
9730,441600,75286,25,02631
10208,375500,86356,25,02632
4070,619500,83625,25,02633
3004,443500,68590,25,02635
199,577600,188021,25,02637
3126,478200,83632,25,02638
3198,322700,52719,25,02639
194,447900,62888,25,02641
4876,463600,71981,25,02642
0,-666666666,-666666666,25,02643
3791,349500,98182,25,02644
9116,383100,78689,25,02645
2094,546000,67773,25,02646
97,1984400,77344,25,02647
6667,364600,87060,25,02648
14148,363100,77019,25,02649
901,819600,91174,25,02650
25,-666666666,-666666666,25,02651
687,584700,70921,25,02652
5856,643200,73819,25,02653
3208,478600,83750,25,02655
2973,601900,59063,25,02657
1021,609600,70694,25,02659
6196,362100,61694,25,02660
102,1004500,64464,25,02663
8693,350900,60432,25,02664
435,360300,67526,25,02666
3515,510400,75096,25,02667
2660,448000,100379,25,02668
27,-666666666,-666666666,25,02669
1195,433300,65486,25,02670
1026,432900,75417,25,02671
277,895500,76417,25,02672
8517,284700,63980,25,02673
6580,382900,74654,25,02675
4382,360300,95927,25,02702
